path,labels
nep_0258_0119737288,दीपा धामीको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_0461984530,डिग्रा देवीको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_0576399736,टेकबहादुर ऐरको जन्म सुदूरपश्चिम नेपालको डडेलधुरा जिल्लामा भएको हो
nep_0258_0707220145,सुमन शेखरमानन्धर नेपालको कृषि अर्थविद् तथा गायक हुन्
nep_0258_0838627393,आधिकारिक रूपमा पहिलो नेपाली चलचित्र नायक शिव शंकर मानन्धरलाई मानिन्छ
nep_0258_1082186644,नेपाली सङ्गीतमा पुर्‍याएको योगदानका लागि सङ्गीत उद्योगले सम्झिरहनु पर्ने एउटा नामकोइलीदेवी हो
nep_0258_1139532706,रेडियो नेपालमा कार्यरत रहँदा मास्टर रत्नदास प्रकाश निकै लोकप्रिय थिए
nep_0258_2044831682,प्रकाश श्रेष्ठ आधुनिक नेपाली गायक हुन्
nep_0258_2658340102,सेते नेपाली श्रोतामाझ भिजेका गायक हुन्
nep_0258_2670176669,शान्ति धामी एक लोकप्रिय लोक गायक हुन्
nep_0258_2764563824,गोपिसिंह नेपालीको जन्म सुदूरपश्चिम नेपालको अछाम जिल्लामा भएको हो
nep_0258_2784581247,बेनीमाधव भट्टको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
nep_0258_2857262530,जगदिश समाल नेपाली आधुनिक तथा गजल गायक हुन
nep_0258_2907711643,गोपाल बिस्टको जन्म सुदूरपश्चिम नेपालको बैतडी जिल्लामा भएको हो
nep_0258_3000024878,बिद्या तिमिल्सिनाको जन्म सुदूरपश्चिम नेपालको बाजुरा जिल्लामा भएको हो
nep_0258_3178538388,बिमला बुढाको जन्म सुदूरपश्चिम नेपालको बाजुरा जिल्लामा भएको हो
nep_0258_3696950667,कुमार बस्नेत नेपालका लोकप्रिय लोक गायक हुन्
nep_0258_3756247064,चाँदनी मल्लको जन्म सुदूरपश्चिम नेपालको दार्चुला जिल्लामा भएको हो
nep_0258_3863885031,सबिन राई नेपाली पप गायक तथा संगीतकार हुन्
nep_0258_4633570599,गणेशबहादुर सिंहको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_5936619539,सबिता भट्टले सुदूरपश्चिमका गीतहरू गाएकी छन्
nep_0258_5963754000,नारायण बिस्टको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_6050104400,दुर्गादेवी जोशीको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_6075003542,गोरखबहादुर थापाको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_6318800215,पाण्डव सुनुवारले नेपाली साङ्गीतिक दुनियाँमा हत्तपत्त नमेटिने पहिचान मात्र बनाएका थिएनन्
nep_0258_6957160770,झंकर साउदको जन्म सुदूरपश्चिम नेपालको अछाम जिल्लामा भएको हो
nep_0258_7059288409,मोहन बजुलिया देउडा गीतका प्रखर गायक हुन्
nep_0258_7074678628,गणेश बमको जन्म सुदूरपश्चिम नेपालको दार्चुला जिल्लामा भएको हो
nep_0258_7121600053,यस क्षेत्रमा राजेन्द्रबहादुर थापाको योगदान अद्वितीय छ
nep_0258_7147057872,मनोरथ खडायतको जन्म सुदूरपश्चिम नेपालको डडेलधुरा जिल्लामा भएको हो
nep_0258_7211607717,डिल्लीराज फुलाराको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
nep_0258_7263933785,निमराज ओझाको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
nep_0258_7375603014,जयभक्त जोशीको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_7605572831,शीर्षक राखेका रहेछन् सन्तोष शर्माले
nep_0258_7843539751,नन्दसिंह धामीको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
nep_0258_7944550785,नन्दकृष्ण जोशी देउडा गायक हुन्
nep_0258_8169062440,राजु नेपालीका गीति एल्बमहरू निकै लोकप्रिय छन्
nep_0258_8444696734,नृप स्वारको जन्म सुदूरपश्चिम नेपालको अछाम जिल्लामा भएको हो
nep_0258_9071871190,देउडा गायक मान बहादुर केसीको कठै दैव तलाई एल्बम बजारमा आउँदै छ
nep_0258_9113827113,पदमबहादुर रोकायाको जन्म सुदूरपश्चिम नेपालको बझाङ जिल्लामा भएको हो
nep_0258_9132039389,गायक रामकृष्ण ढकाल यिनलाई आफ्नो गडफादर मान्दछन्
nep_0258_9284332098,डबल बोहराको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
nep_0258_9660145870,मित्रसेन थापा मगर जन्मँदा उनका बाबु फर्स्ट गोरखा राइफल्समा कार्यरत थिए
nep_0258_9678022366,नवीन भट्टराई नेपाली पप गायनमा ख्याति कमाएका गायक हुन्
nep_0258_9856286890,रत्ना जोशीको नाम साङ्गीतिक क्षेत्रमा निकै लोकप्रिय छ
nep_0258_9867218411,शैलेन्द्र मोहन प्रधान बाबु सङ्गीत संयोजक हुन् र उहाँको जन्म हेटौँडाको स्कुल रोडमा भएको हो
nep_0258_9885710280,यस चलचित्रका निर्देशक प्रदीप श्रेष्ठ हुन्
nep_0258_9939583579,सुवि शाहद्वारा सङ्कलित धादिङको पञ्चैबाजाको धुन रेडियो नेपालबाट विजयादशमीभर बजाइन्थ्यो
nep_0258_9950286014,मनोहरराम दमाईको जन्म सुदूरपश्चिम नेपालको बैतडी जिल्लामा भएको हो
nep_0283_0766374282,तिला जुम्ला जिल्लाको पूर्वी भागबाट पश्चिम हुँदै कालिकोट जिल्लामा प्रवेश गरी सेरीगाड नजिकै कर्णालीमा मिसिन्छ
nep_0283_0816115484,सुदिप बुक्स एन्ड स्‍टेसनरीलाई बेचेर उनले अर्को पसल सुरु गरे
nep_0283_0964661420,सुर्खेत जुम्ला सडक यो गाउँबाटै जान्छ यो गाउँलाई पिपलकोटको मुख्य व्यापारिक स्थानमा लिन सकिन्छ
nep_0283_0976640363,तेह्रथुम जिल्ला अस्पतालमा औषधिको अभाव भएपछि बिरामीहरू इलामतिर झर्न थालेका छन्
nep_0283_1353776465,पोखरा फेवा ताल आसपासको क्षेत्रमा यो वनस्पति प्रशस्तमात्रामा पाइन्छ
nep_0283_1731098563,अर्थोपेडीक अस्पतालको हालको विवरण र विगतको विवरणमा निकै विभन्नता आएको छ
nep_0283_2244138368,चेहेरे ठोकर्पा मोटरबाटो सुनकोशी नदीपारी चवन्न सालदेखि सञ्चालनमा आइरहेको छ
nep_0283_3326495973,करिब तीस हजार मानिसहरू मारिए पचास हजार व्यक्ति गिरफ्तार भए हजारौँले कालापानीको सजाय पाए
nep_0283_3759375127,सौर्य अन्तर्राष्ट्रिय उच्च माध्यमिक विद्यालय र कलेजको विगत त्यति राम्रो छैन तर वर्तमानमा निकै प्रगति गरेको छ
nep_0283_4038945255,गण्डगी नदी नेपालको मध्य क्षेत्रमा बग्ने धेरै नदीहरू मिलेर बन्ने नदीको नाम हो
nep_0283_4559349270,दुई हजार उनान्सत्तरी पौष अट्ठाइस गतेबाट माघ छ गतेसम्म बढैया तालमाघी तथा कृषि महोत्सवको आयोजना गरेको छ
nep_0283_4618089463,शीतल बुक्स एन्ड स्टेसनरी सेन्टरले धेरै पुराना पुस्तकहरू स्कुलको पुस्तकालयलाई अनुदान स्वरूप प्रदान गरेको छ
nep_0283_4751807651,भरतपुर सहर नेपालको मध्य क्षेत्रमा रहेको एउटा महत्त्वपूर्ण सहर हो
nep_0283_4905013597,दाहाल सुरुवातदेखि नै द काठमाडौँ किचन नामक नेपाली रेस्टुराँ चलाउनु हुन्छ
nep_0283_5158477137,कबाबका पारखीहरूले घर ए कबाबमा जानु सबैभन्दा राम्रो हुन्छ
nep_0283_5326639197,गाईघाटमा अवस्थित त्रियोग उच्च माध्यमिक विद्यालयले शिक्षा क्षेत्रमा गरेको योगदानको कदर गर्दे कार्यक्रमको आयोजना गरियो
nep_0283_5380400568,ज्ञानकुन्ज उच्च माध्यमिक विद्यालय र कलेजमा धेरै विद्यार्थीको भिड लाग्नाले आफ्नो क्षमता बढाउनु पर्ने भएको छ
nep_0283_5584542821,पूर्वाञ्चल विश्वविद्यालय नेपालको पूर्व क्षेत्रमा अवस्थित एउटा विश्वविद्यालय हो
nep_0283_6656084051,सुविधा सम्पन्न व्यापारिक कम्लेक्स तथा मलहरू खुल्ने क्रम बढ्दो छ यही क्रममा दरबारमार्गस्थित राइजिङ मल खुलेको छ
nep_0283_6773461444,सहिद स्मारक कलेजले गरिब तथा जेहेन्दार विद्यार्थीहरूलाई छात्रवृति प्रदान गर्दै आएका छन्
